Makkah TV	01`03f11584.m3u8
Indosiar 1	01`03f8.m3u8
Indosiar 2	01`03f9721.m3u8
iNews	01`03f32.m3u8
MNC TV	01`03f11.m3u8
Okey	01`03f11630.m3u8
RCTI	01`03f10.m3u8
SCTV 1	01`03f9.m3u8
SCTV 2	01`03f9722.m3u8
Astro Arena 1	01`03f11629.m3u8
Astro Arena 2	01`03f11815.m3u8
Astro Sport 1	01`03f118.m3u8
Astro Sport 2	01`03f119.m3u8
Astro Sport 3	01`03f120.m3u8
Astro Sport 4	01`03f121.m3u8
beIN 1 Id	01`03f139.m3u8
beIN 3 Id	01`03f140.m3u8
beIN Sports AR 1	01`03f12114.m3u8
beIN Sports AR 2	01`03f12115.m3u8
beIN Sports AR 3	01`03f12116.m3u8
beIN Sports AR 4	01`03f12117.m3u8
beIN Sports AR 5	01`03f12118.m3u8
beIN Sports AR 6	01`03f12119.m3u8
beIN Sports AR 7	01`03f12120.m3u8
beIN Sports MY 1	01`03f11937.m3u8
beIN Sports MY 2	01`03f12517.m3u8
beIN Sports MY 3	01`03f11939.m3u8
Bundes Liga 1	01`03f12502.m3u8
Bundes Liga 2	01`03f12503.m3u8
Bundes Liga 3	01`03f12504.m3u8
Cricket 1	01`03f122.m3u8
Cricket 2	01`03f9804.m3u8
Dazn Eleven 1	01`03f12125.m3u8
Dazn Eleven 2	01`03f12126.m3u8
Dazn Eleven 3	01`03f12127.m3u8
Dazn Eleven 4	01`03f12128.m3u8
EPL 1	01`03f96.m3u8
EPL 2	01`03f97.m3u8
EPL 3	01`03f98.m3u8
EPL 4	01`03f12570.m3u8
Eurosports 1 Uk	01`03f9808.m3u8
Eurosports 2 Uk	01`03f9809.m3u8
F One 1	01`03f9798.m3u8
F One 2	01`03f12169.m3u8
F One 3	01`03f12107.m3u8
Football	01`03f116.m3u8
Fox 502	01`03f83.m3u8
Fox 504	01`03f84.m3u8
Golf 1	01`03f142.m3u8
Golf 2	01`03f12112.m3u8
Golf 3	01`03f9805.m3u8
Laliga 1	01`03f133.m3u8
Laliga 2	01`03f134.m3u8
Laliga 3	01`03f135.m3u8
Liga 1 Bri	01`03f12192.m3u8
Motogp 1	01`03f9806.m3u8
Motogp 2	01`03f12199.m3u8
Motogp 3	01`03f12106.m3u8
Premier Sports	01`03f12725.m3u8
ProLiga	01`03f117.m3u8
RMC Fight	01`03f12576.m3u8
Seri A 1	01`03f12499.m3u8
Seri A 2	01`03f12500.m3u8
Seri A 3	01`03f12501.m3u8
Sky Sports Action Uk	01`03f9801.m3u8
Sky Sports Arena Uk	01`03f9802.m3u8
Sky Sports Football Uk	01`03f9797.m3u8
Sky Sports Main Events Uk	01`03f9800.m3u8
Sky Sports Premier Uk	01`03f9796.m3u8
Sony Ten 1	01`03f12173.m3u8
Sony Ten 2	01`03f12174.m3u8
Sony Ten 3	01`03f12175.m3u8
Spo TV 1 MY	01`03f12723.m3u8
Spo TV 1	01`03f110.m3u8
Spo TV 2 MY	01`03f12724.m3u8
Spo TV 2	01`03f111.m3u8
Sport 1	01`03f112.m3u8
Sport 2	01`03f113.m3u8
Sport 3	01`03f114.m3u8
Sport 4	01`03f115.m3u8
Sport TV 1	01`03f12180.m3u8
Sport TV 2	01`03f12181.m3u8
Sport TV 3	01`03f12182.m3u8
Sport TV 4	01`03f12732.m3u8
Supersport Action	01`03f12671.m3u8
Tennis 1	01`03f11938.m3u8
Tennis 2	01`03f9799.m3u8
