BEIN SPORTS NEWS	00`05alive00`05b290371.m3u8
BEIN SPORTS HD	00`05alive00`05b6727.m3u8
BEIN SPORTS 1 HD	00`05alive00`05b60954.m3u8
BEIN SPORTS 1 HD B2	00`05alive00`05b394073.m3u8
BEIN SPORTS 2 HD	00`05alive00`05b60955.m3u8
BEIN SPORTS 2 HD B2	00`05alive00`05b394074.m3u8
BEIN SPORTS 3 HD	00`05alive00`05b60956.m3u8
BEIN SPORTS 3 HD B2	00`05alive00`05b394075.m3u8
BEIN SPORTS 4	00`05alive00`05b5231.m3u8
BEIN SPORTS 4 HD B2	00`05alive00`05b576496.m3u8
BEIN SPORTS 5	00`05alive00`05b5229.m3u8
BEIN SPORTS 5 HD B2	00`05alive00`05b576497.m3u8
BEIN SPORTS 6	00`05alive00`05b5233.m3u8
BEIN SPORTS 6 HD B2	00`05alive00`05b576498.m3u8
BEIN SPORTS 7	00`05alive00`05b5235.m3u8
BEIN SPORTS 7 HD B2	00`05alive00`05b576499.m3u8
BEIN SPORTS 8	00`05alive00`05b5237.m3u8
BEIN SPORTS 8 HD B2	00`05alive00`05b576500.m3u8
BEIN SPORTS 9	00`05alive00`05b5239.m3u8
BEIN SPORTS 9 HD B2	00`05alive00`05b576501.m3u8
BEIN SPORTS 1 ENGLISH	00`05alive00`05b5241.m3u8
BEIN SPORTS XTRA 1 HD	00`05alive00`05b135165.m3u8
BEIN SPORTS XTRA 2 HD	00`05alive00`05b135166.m3u8
BEIN SPORTS XTRA 3	00`05alive00`05b5240.m3u8
BEIN SPORTS 1 FHD	00`05alive00`05b60958.m3u8
BEIN SPORTS 2 FHD	00`05alive00`05b28751.m3u8
BEIN SPORTS 3 FHD	00`05alive00`05b60959.m3u8
BEIN SPORTS 4 FHD	00`05alive00`05b36301.m3u8
BEIN SPORTS 5 FHD	00`05alive00`05b36302.m3u8
BEIN SPORTS 6 FHD	00`05alive00`05b36300.m3u8
BEIN SPORTS 7 FHD	00`05alive00`05b36299.m3u8
BEIN SPORTS 8 FHD	00`05alive00`05b36298.m3u8
BEIN SPORTS 9 FHD	00`05alive00`05b36297.m3u8
BEIN SPORTS 1 ENGLISH FHD	00`05alive00`05b36295.m3u8
BEIN SPORTS 1 SD	00`05alive00`05b60960.m3u8
BEIN SPORTS 2 SD	00`05alive00`05b60961.m3u8
BEIN SPORTS 4 SD	00`05alive00`05b60967.m3u8
BEIN SPORTS 5 SD	00`05alive00`05b60970.m3u8
BEIN SPORTS 6 SD	00`05alive00`05b60969.m3u8
BEIN SPORTS 4 SD	00`05alive00`05b60963.m3u8
BEIN SPORTS 8 SD	00`05alive00`05b60964.m3u8
BEIN SPORTS 9 SD	00`05alive00`05b60965.m3u8
BEIN SPORTS XTRA 1 SD	00`05alive00`05b117948.m3u8
BEIN SPORTS XTRA 2 SD	00`05alive00`05b117949.m3u8
BEIN SPORTS XTRA 3 SD	00`05alive00`05b60966.m3u8
BEIN MOVIES 1 HD	00`05alive00`05b59077.m3u8
BEIN MOVIES 2 HD	00`05alive00`05b59078.m3u8
BEIN MOVIES 3 HD	00`05alive00`05b59079.m3u8
BEIN MOVIES 4 HD	00`05alive00`05b59080.m3u8
BEIN SERIES 1 HD	00`05alive00`05b59082.m3u8
BEIN SERIES 2 HD	00`05alive00`05b59083.m3u8
BEIN FOX MOVIES ACTION HD	00`05alive00`05b59086.m3u8
BEIN BE JUNIOR HD	00`05alive00`05b59087.m3u8
BEIN BOOMERANG HD	00`05alive00`05b59088.m3u8
BEIN GOURMET HD	00`05alive00`05b59089.m3u8
BEIN BARAEM HD	00`05alive00`05b59090.m3u8
BEIN JEEM HD	00`05alive00`05b59100.m3u8
BEIN BARAEAM 4K	00`05alive00`05b375947.m3u8
