Click again if The Purple Screen shows up!	^--
ONTime Sports EG	00`b002512/index.m3u8
CBC AZ	00`b001050/index.m3u8
Dunya TV AZ	00`b002192/index.m3u8
FEM HD NO	00`b007356/index.m3u8
TV 2 Sport 2 HD NO	00`b002540/index.m3u8
NOVA Sport BG	00`b002514/index.m3u8
This is Bulgaria HD BG	00`b001043/index.m3u8
Wness TV HD BG	00`b00984/index.m3u8
Arena Sport 1 SK	00`b002550/index.m3u8
NickToons SK	00`b006095/index.m3u8
Viasat Sport Premium HD SK	00`b006069/index.m3u8
ČT sport HD CZ	00`b002551/index.m3u8
Nova Sport 1 HD CZ	00`b002555/index.m3u8
Nova Sport 2 HD CZ	00`b002556/index.m3u8
Sport 2 HD CZ	00`b002557/index.m3u8
Sport 5 CZ	00`b002558/index.m3u8
DR1 HD DK	00`b007354/index.m3u8
Kanal 4 HD DK	00`b007358/index.m3u8
TV 2 SPORT HD DK	00`b002537/index.m3u8
TV 2 SPORT HD DK	00`b007355/index.m3u8
Viasat Sport Ultra HD DK	00`b0019163/index.m3u8
ABC News AU	00`b006120/index.m3u8
Australia Channel AU	00`b006118/index.m3u8
FOX News Extra AU	00`b006116/index.m3u8
Fox Sports News AU	00`b006119/index.m3u8
Fox Sports News AU	00`b006121/index.m3u8
Sky News Extra 2 AU	00`b006114/index.m3u8
Sky News Extra 3 AU	00`b006115/index.m3u8
Sky News Extra 3 AU	00`b006117/index.m3u8
Sky Racing AU	00`b006122/index.m3u8
ESPN 1 HD NL	00`b0019201/index.m3u8
ESPN 2 HD NL	00`b0019202/index.m3u8
ESPN 3 HD NL	00`b0019203/index.m3u8
ESPN 4 HD NL	00`b0019204/index.m3u8
Eurosport 1 HD NL	00`b004004/index.m3u8
FOX Sports 1 HD NL	00`b002552/index.m3u8
FOX Sports 2 HD NL	00`b002553/index.m3u8
FOX Sports 4 HD NL	00`b002554/index.m3u8
Ziggo Sport Golf NL	00`b002559/index.m3u8
Ziggo Sport Select HD NL	00`b002560/index.m3u8
Ziggo Sport Voetbal NL	00`b002561/index.m3u8
Al Jazeera	00`b00960/index.m3u8
AL JAZEERA ENGLISH	00`b0031145/index.m3u8
beIN Drama QA	00`b006137/index.m3u8
beIN Sports 1 HD QA	00`b006123/index.m3u8
beIN Sports 1 Premium HD QA	00`b006131/index.m3u8
beIN Sports 3 HD QA	00`b006124/index.m3u8
beIN Sports 4 HD QA	00`b006125/index.m3u8
beIN Sports 5 HD QA	00`b006126/index.m3u8
beIN Sports 6 HD QA	00`b006127/index.m3u8
beIN Sports 7 HD QA	00`b006128/index.m3u8
beIN Sports 8 HD QA	00`b006129/index.m3u8
AL EMARAT TV AE	00`b0015201/index.m3u8
Al Hadath AE	00`b0015203/index.m3u8
Majid Kids TV AE	00`b0015202/index.m3u8
MBC 2 SD AE	00`b0015198/index.m3u8
MBC 4 AE	00`b0015199/index.m3u8
Mbc Action AE	00`b0015197/index.m3u8
Mbc Drama AE	00`b0015196/index.m3u8
Mbc Max AE	00`b0015195/index.m3u8
National Geographic Abu Dhabi AE	00`b0015200/index.m3u8
Otv AE	00`b0015194/index.m3u8
Rotana-Aflem AE	00`b0015193/index.m3u8
YAS Sports AE	00`b002511/index.m3u8
BENFICA 4K TV UHD PT	00`b0019160/index.m3u8
Eleven Sports 1 HD PT	00`b002531/index.m3u8
ELEVEN SPORTS 1 UHD PT	00`b0019158/index.m3u8
Eleven Sports 2 HD PT	00`b002532/index.m3u8
Eleven Sports 3 PT	00`b002533/index.m3u8
Eleven Sports 3 PT	00`b007062/index.m3u8
Eleven Sports 4 PT	00`b002534/index.m3u8
Eleven Sports 5 PT	00`b002535/index.m3u8
Eleven Sports 6 PT	00`b002536/index.m3u8
Eleven Sports 6 PT	00`b007064/index.m3u8
MTV 00`s PT	00`b0019159/index.m3u8
SPORT TV 1 4K UHD PT	00`b0019161/index.m3u8
SPORT TV 1 HD PT	00`b002525/index.m3u8
SPORT TV 2 HD PT	00`b002526/index.m3u8
SPORT TV 3 HD PT	00`b002527/index.m3u8
SPORT TV 4 PT	00`b002528/index.m3u8
SPORT TV 5 PT	00`b002529/index.m3u8
Sporting TV HD PT	00`b002530/index.m3u8
AXN BR	00`b006163/index.m3u8
AXN HD BR	00`b006162/index.m3u8
Band News BR	00`b006161/index.m3u8
BAND NEWS HD BR	00`b006160/index.m3u8
BAND SP HD BR	00`b006159/index.m3u8
Band Sports BR	00`b006158/index.m3u8
BAND SPORTS HD BR	00`b006157/index.m3u8
ESPN Brasil	00`b0019060/index.m3u8
ESPN BRASIL HD	00`b0019059/index.m3u8
ESPN EXTRA HD BR	00`b0019057/index.m3u8
ESPN HD BR	00`b0019056/index.m3u8
ESPN HD BR	00`b0019061/index.m3u8
ESPN2 HD BR	00`b0019058/index.m3u8
HBO BR	00`b0019046/index.m3u8
HBO MUNDI BR	00`b0019047/index.m3u8
HBO POP BR	00`b0019049/index.m3u8
HBO SIGNATURE BR	00`b0019050/index.m3u8
HBO+ BR	00`b0019048/index.m3u8
HBO2 BR	00`b0019045/index.m3u8
Duo3 HD EE	00`b0014129/index.m3u8
Duo6 HD EE	00`b0014130/index.m3u8
Duo7 HD EE	00`b0020079/index.m3u8
ETV EE	00`b006402/index.m3u8
ETV HD EE	00`b0012017/index.m3u8
ETV HD EE	00`b0012011/index.m3u8
ETV+ HD EE	00`b0014133/index.m3u8
ETV+ HD EE	00`b0020080/index.m3u8
ETV2 EE	00`b006403/index.m3u8
ETV2 HD EE	00`b0014131/index.m3u8
Kanal 2 EE	00`b006404/index.m3u8
Kanal 2 HD EE	00`b0018002/index.m3u8
TV 1+2 EE	00`b0020082/index.m3u8
TV3 EE	00`b0018003/index.m3u8
TV3 EE	00`b006411/index.m3u8
TV3 Sport 2 HD EE	00`b0018001/index.m3u8
TV3 Sport HD EE	00`b0018000/index.m3u8
TV6 EE	00`b0018004/index.m3u8
TV6 EE	00`b006415/index.m3u8
Arena Sport 1 FHD HR	00`b007263/index.m3u8
Arena Sport 1 HD HR	00`b007329/index.m3u8
Arena Sport 2 FHD HR	00`b007264/index.m3u8
Arena Sport 2 HD HR	00`b007330/index.m3u8
Arena Sport 3 FHD HR	00`b007265/index.m3u8
Arena Sport 3 HD HR	00`b007331/index.m3u8
