Moji 1	01`03c4.m3u8
Moji 2	01`03d1803.m3u8
Moji 3	01`03d4194.m3u8
Indosiar 1	01`03c228.m3u8
Indosiar 2	01`03d3517.m3u8
Indosiar 3	01`03d4188.m3u8
MNC 1	01`03d3520.m3u8
MNC 2	01`03d4191.m3u8
RCTI 1	01`03d3519.m3u8
RCTI 2	01`03d4193.m3u8
Football	01`03d3494.m3u8
Sports 1	01`03d3490.m3u8
Sports 2	01`03d3491.m3u8
Sports 3	01`03d3492.m3u8
Sports 4	01`03d3493.m3u8
US  Fox 502	01`03d1876.m3u8
US  Fox 504	01`03d1877.m3u8
TRANS 7 HD	01`03d3515.m3u8
TRANS TV HD	01`03d3516.m3u8
SCTV HD	01`03d3518.m3u8
GTV HD	01`03d3521.m3u8
iNEWS TV	01`03d3522.m3u8
ANTV HD	01`03d3523.m3u8
TV ONE HD	01`03d3524.m3u8
NET TV HD	01`03d11.m3u8
METRO TV HD	01`03d12.m3u8
KOMPAS TV HD	01`03d13.m3u8
RTV HD	01`03d14.m3u8
TVRI HD	01`03d19.m3u8
BERITA SATU HD	01`03d16.m3u8
CNN INDONESIA	01`03d17.m3u8
CNBC INDONESIA	01`03d18.m3u8
Bioskop Action	01`03d20.m3u8
Bioskop Thriller	01`03d21.m3u8
Bioskop China	01`03d22.m3u8
Bioskop Bollywood	01`03d23.m3u8
Bioskop Drama & Family	01`03d24.m3u8
Bioskop Horror	01`03d25.m3u8
Bioskop Indonesia	01`03d26.m3u8
Bioskop Warkop DKI	01`03d27.m3u8
TOM & JERRY	01`03d29.m3u8
MR. BEAN	01`03d30.m3u8
HBO HD	01`03d31.m3u8
HBO SIGN HD	01`03d32.m3u8
HBO HITS HD	01`03d33.m3u8
HBO FAMILY HD	01`03d34.m3u8
CINEMAX HD	01`03d35.m3u8
BIOSKOP INDONESIA HD	01`03d36.m3u8
FLIK HD	01`03d37.m3u8
IMC HD	01`03d38.m3u8
WARNER HD	01`03d40.m3u8
CCM HD	01`03d42.m3u8
CELESTIAL MOVIES HD	01`03d43.m3u8
ROCK ACTION HD	01`03d45.m3u8
AXN HD	01`03d46.m3u8
KIX HD	01`03d47.m3u8
THRILL HD	01`03d48.m3u8
TVN Movies HD	01`03d49.m3u8
GALAXY HD	01`03d50.m3u8
GALAXY PREMIUM HD	01`03d51.m3u8
CINEMA WORLD HD	01`03d52.m3u8
ZEE BIOSKOP	01`03d4105.m3u8
HITS HD	01`03d53.m3u8
HITS MOVIES HD	01`03d54.m3u8
CINEMACHI	01`03d3272.m3u8
CINEMACHI ACTION	01`03d3273.m3u8
CINEMACHI MAX	01`03d3274.m3u8
CINEMACHI EXTRA	01`03d3275.m3u8
My CINEMA HD	01`03d55.m3u8
My CINEMA Asia HD	01`03d56.m3u8
My FAMILY Channel HD	01`03d57.m3u8
DUNIA LAIN	01`03d3277.m3u8
K PLUS	01`03d3278.m3u8
CHINESE DRAMA	01`03d3279.m3u8
SONY ONE	01`03d3280.m3u8
SONY GEM	01`03d3281.m3u8
ROCK ENTERTAINMENT	01`03d3282.m3u8
TVN	01`03d3283.m3u8
VISION PRIME	01`03d3285.m3u8
OK TV	01`03d3286.m3u8
FMN	01`03d3287.m3u8
TV 5 MONDE	01`03d3289.m3u8
ABC AUSTRALIA	01`03d3290.m3u8
NHK WORLD	01`03d3291.m3u8
NHK WORLD PREMIUM	01`03d3292.m3u8
KBS WORLD	01`03d3293.m3u8
ARIRANG	01`03d3294.m3u8
