Qur`an Recitations with Translation (English)<br>	^--
Sûrat Al-Fatihah (The Opening) . 1:28	https://quran.islamway.net/quran3/641/001.mp3
Sûrat Al-Baqarah (The Cow) . 3:21:30	https://quran.islamway.net/quran3/641/002.mp3
Sûrat Al-Imran (The Family of Imran) . 2:05:46	https://quran.islamway.net/quran3/641/003.mp3
Sûrat An-Nisa (The Women) . 2:08:50	https://quran.islamway.net/quran3/641/004.mp3
Sûrat Al-Maidah (The Table spread with Food) . 1:39:20	https://quran.islamway.net/quran3/641/005.mp3
Sûrat Al-An'am (The Cattle) . 1:53:27	https://quran.islamway.net/quran3/641/006.mp3
Sûrat Al-A'raf (The Heights) . 2:07:11	https://quran.islamway.net/quran3/641/007.mp3
Sûrat Al-Anfal (The Spoils of War) . 47:05	https://quran.islamway.net/quran3/641/008.mp3
Sûrat At-Taubah (The Repentance) . 1:34:33	https://quran.islamway.net/quran3/641/009.mp3
Sûrat Yunus (Jonah) . 1:09:13	https://quran.islamway.net/quran3/641/010.mp3
Sûrat Hud (Hud) . 1:12:44	https://quran.islamway.net/quran3/641/011.mp3
Sûrat Yusuf (Joseph) . 1:05:09	https://quran.islamway.net/quran3/641/012.mp3
Sûrat Ar-Ra'd (The Thunder) . 31:51	https://quran.islamway.net/quran3/641/013.mp3
Sûrat Ibrahim (Abraham) . 31:16	https://quran.islamway.net/quran3/641/014.mp3
Sûrat Al-Hijr (The Rocky Tract) . 26:23	https://quran.islamway.net/quran3/641/015.mp3
Sûrat An-Nahl (The Bees) . 1:07:11	https://quran.islamway.net/quran3/641/016.mp3
Sûrat Al-Isra (The Night Journey) . 53:33	https://quran.islamway.net/quran3/641/017.mp3
Sûrat Al-Kahf (The Cave) . 54:28	https://quran.islamway.net/quran3/641/018.mp3
Sûrat Maryam (Mary) . 35:20	https://quran.islamway.net/quran3/641/019.mp3
Sûrat Taha . 46:38	https://quran.islamway.net/quran3/641/020.mp3
Sûrat Al-Anbiya (The Prophets) . 43:07	https://quran.islamway.net/quran3/641/021.mp3
Sûrat Al-Hajj (The Pilgrimage) . 46:48	https://quran.islamway.net/quran3/641/022.mp3
