Atlas	`0https://www.2embed.cc/embed/tt14856980
Super Sport Football	`0https://mhdmaxtv.me/beesport/play.php?id=38
JP  NHK World Japan	https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/bmcc-live/id/playlist.m3u8
JP  Nippon News 24	https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
JP  Animax	https://vnpt.nekocdn.xyz/hls/Animax/index.m3u8
JP  AT-X	https://vnpt.nekocdn.xyz/hls/AT-X/index.m3u8
JP  BS11	https://vnpt.nekocdn.xyz/hls/BS11/index.m3u8
JP  Fuji TV	https://vnpt.nekocdn.xyz/hls/Fuji_TV/index.m3u8
JP  MTV	https://vnpt.nekocdn.xyz/hls/MTV/index.m3u8
JP  NHK BS	https://vnpt.nekocdn.xyz/hls/NHK_BS/index.m3u8
JP  NHK E	https://vnpt.nekocdn.xyz/hls/NHK_E/index.m3u8
JP  NHK G	https://vnpt.nekocdn.xyz/hls/NHK_G/index.m3u8
JP  NTV	https://vnpt.nekocdn.xyz/hls/Nippon_TV/index.m3u8
JP  Space Shower TV (n3ko)	https://vnpt.nekocdn.xyz/hls/Space_Shower/index.m3u8
JP  TBS	https://vnpt.nekocdn.xyz/hls/TBS/index.m3u8
JP  TOKYO MX1	https://vnpt.nekocdn.xyz/hls/Tokyo_MX1/index.m3u8
JP  TV Asahi	https://vnpt.nekocdn.xyz/hls/TV_Asahi/index.m3u8
JP  TV Tokyo	https://vnpt.nekocdn.xyz/hls/TV_Tokyo/index.m3u8
@JP  J Sports 1	https://stream01.willfonk.com/live_playlist.m3u8?cid=BS242&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
@JP  J Sports 2	https://stream01.willfonk.com/live_playlist.m3u8?cid=BS243&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
@JP  J Sports 3	https://stream01.willfonk.com/live_playlist.m3u8?cid=BS244&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
